id,spp,initial_wt_g,coll_wt_g,days,soil_block,row,percent_n,percent_c,mass_sent_g,row_no,pct_mass_remain,pct_mass_remain_corr,prop_n,prop_c,total_n_g
349,AR,22.916,NA,NA,NA,,NA,NA,NA,99999,NA,NA,NA,NA,NA
358,AR,23.248,NA,NA,NA,,NA,NA,NA,99999,NA,NA,NA,NA,NA
359,AR,23.033,NA,NA,NA,,1.73,33.1,0.113,99999,NA,NA,0.0173,0.331,NA
367,AR,22.921,NA,NA,NA,,NA,NA,NA,99999,NA,NA,NA,NA,NA
236,CR,22.415,20.883,0,1,A,1.58,43,0.1153,1,93.16529109971002,100.58661419971001,0.0158,0.43,0.3299514
223,CR,22.739,21.226,0,1,B,1.69,43.3,0.1032,2,93.3462333435947,100.7675564435947,0.0169,0.433,0.35871939999999997
240,CR,23.294,21.393,0,1,C,1.36,42.4,0.1004,3,91.83910019747574,99.26042329747574,0.013600000000000001,0.424,0.2909448
258,CR,22.677,21.05,0,1,D,1.32,42.9,0.1013,4,92.82532962913966,100.24665272913965,0.0132,0.429,0.27786
255,CR,22.334,20.583,0,1,E,1.35,43.8,0.1098,5,92.1599355243127,99.5812586243127,0.013500000000000002,0.43799999999999994,0.2778705
211,CR,22.504,21.087,0,2,F,1.41,42.6,0.1058,6,93.70334162815499,101.12466472815498,0.0141,0.426,0.2973267
272,CR,23.233,21.327,0,2,G,1.45,42.8,0.1024,7,91.79615202513666,99.21747512513666,0.014499999999999999,0.428,0.3092415
215,CR,22.77,20.672,0,2,H,1.46,42.8,0.1066,8,90.78612209046992,98.20744519046991,0.0146,0.428,0.3018112
283,CR,22.948,21.542,0,2,I,1.33,42.9,0.1082,9,93.87310440997038,101.29442750997038,0.013300000000000001,0.429,0.28650860000000006
276,CR,23.275,21.481,0,2,J,1.44,43.3,0.1004,10,92.29215896885071,99.71348206885071,0.0144,0.433,0.3093264
207,CR,22.766,19.1089,7,1,A,NA,NA,NA,1,83.93613282965826,83.93613282965826,NA,NA,NA
290,CR,22.532,20.236,7,1,B,NA,NA,NA,2,89.81004793183028,89.81004793183028,NA,NA,NA
235,CR,22.69,19.403,7,1,C,NA,NA,NA,3,85.51344204495372,85.51344204495372,NA,NA,NA
253,CR,23.422,20.523,7,1,D,NA,NA,NA,4,87.62274784390743,87.62274784390743,NA,NA,NA
294,CR,22.863,20.3,7,1,E,NA,NA,NA,5,88.78974762717054,88.78974762717054,NA,NA,NA
261,CR,22.95,19.909,7,2,F,NA,NA,NA,6,86.74945533769063,86.74945533769063,NA,NA,NA
267,CR,23.085,19.68,7,2,G,NA,NA,NA,7,85.25016244314489,85.25016244314489,NA,NA,NA
239,CR,22.903,20.075,7,2,H,NA,NA,NA,8,87.65227262804,87.65227262804,NA,NA,NA
246,CR,22.809,20.458,7,2,I,NA,NA,NA,9,89.69266517602699,89.69266517602699,NA,NA,NA
284,CR,23.323,20.375,7,2,J,NA,NA,NA,10,87.36011662307594,87.36011662307594,NA,NA,NA
249,CR,22.318,16.682,14,1,A,1.14,40.9,0.1155,1,74.74684111479523,74.74684111479523,0.011399999999999999,0.409,0.19017479999999995
212,CR,22.444,17.276,14,1,B,1.23,36.2,0.1037,2,76.97380146141508,76.97380146141508,0.0123,0.36200000000000004,0.2124948
238,CR,22.586,17.023,14,1,C,1.27,41.7,0.1114,3,75.36969804303551,75.36969804303551,0.0127,0.41700000000000004,0.2161921
201,CR,22.603,21.441,14,1,D,1.04,39,0.1011,4,94.85908950139361,94.85908950139361,0.0104,0.39,0.22298639999999997
225,CR,22.993,18.401,14,1,E,1.26,42.4,0.1072,5,80.0287043882921,80.0287043882921,0.0126,0.424,0.2318526
260,CR,22.604,18.465,14,2,F,1.18,39.5,0.1061,6,81.68908157848168,81.68908157848168,0.0118,0.395,0.217887
286,CR,23.07,17.881,14,2,G,1.24,41.1,0.1064,7,77.50758560901603,77.50758560901603,0.0124,0.41100000000000003,0.2217244
256,CR,23.209,17.046,14,2,H,1.24,41.8,0.1048,8,73.44564608557025,73.44564608557025,0.0124,0.418,0.21137039999999999
