bag_no,spp,initial_wt_g,coll_wt_g,days,soil_block,row,row_no,pct_mass_remain,pct_mass_remain_corr
130,GM_PC,24.425,24.097,0,2,G,7,98.65711361310133,98.43016291310133
196,GM_PC,24.822,23.37,7,2,G,7,94.15035049552817,94.15035049552817
165,GM_PC,24.496,22.741,14,2,G,7,92.83556499020249,92.83556499020249
117,GM_PC,22.83,20.352,21,2,G,7,89.14586070959265,89.14586070959265
111,GM_PC,24.361,20.787,28,2,G,7,85.32900948236936,85.32900948236936
129,GM_PC,24.729,19.818,35,2,G,7,80.1407254640301,80.1407254640301
115,GM_PC,25.033,19.963,49,2,G,7,79.74673431070987,79.74673431070987
157,GM_PC,24.978,19.517,63,2,G,7,78.1367603491072,78.1367603491072
139,GM_PC,24.587,18.934,84,2,G,7,77.00817505185668,77.00817505185668
148,GM_PC,24.25,NA,NA,2,G,7,NA,NA
109,GM_PC,26.027,26.091,0,2,H,8,100.24589849002959,100.01894779002959
126,GM_PC,22.72,20.617,7,2,H,8,90.74383802816902,90.74383802816902
185,GM_PC,24.751,22.67,14,2,H,8,91.59225889863036,91.59225889863036
110,GM_PC,25.351,22.262,21,2,H,8,87.81507632834997,87.81507632834997
179,GM_PC,24.875,19.248,28,2,H,8,77.37889447236182,77.37889447236182
142,GM_PC,24.815,16.707,35,2,H,8,67.32621398347773,67.32621398347773
108,GM_PC,22.206,18.072,49,2,H,8,81.38340988921912,81.38340988921912
189,GM_PC,24.415,19.866,63,2,H,8,81.36801146835961,81.36801146835961
138,GM_PC,24.933,18.495,84,2,H,8,74.17879918180725,74.17879918180725
180,GM_PC,24.482,NA,NA,2,H,8,NA,NA
106,GM_PC,25.459,25.439,0,2,I,9,99.92144231902274,99.69449161902274
198,GM_PC,24.383,23.019,7,2,I,9,94.40593856375344,94.40593856375344
167,GM_PC,24.704,22.329,14,2,I,9,90.38617227979275,90.38617227979275
184,GM_PC,24.916,22.006,21,2,I,9,88.32075774602664,88.32075774602664
195,GM_PC,24.462,20.021,28,2,I,9,81.84531109475923,81.84531109475923
194,GM_PC,24.927,20.162,35,2,I,9,80.8841818108878,80.8841818108878
104,GM_PC,22.371,17.655,49,2,I,9,78.91913638192304,78.91913638192304
190,GM_PC,24.735,18.978,63,2,I,9,76.72528805336569,76.72528805336569
182,GM_PC,24.296,NA,NA,2,I,9,NA,NA
200,GM_PC,22.932,25.034,0,2,J,10,109.16623059480202,108.93927989480201
131,GM_PC,24.42,23.117,7,2,J,10,94.66420966420966,94.66420966420966
119,GM_PC,24.043,21.092,14,2,J,10,87.72615730150147,87.72615730150147
149,GM_PC,24.891,21.689,21,2,J,10,87.13591257884377,87.13591257884377
153,GM_PC,25.083,21.032,28,2,J,10,83.84961926404338,83.84961926404338
136,GM_PC,24.819,20.054,35,2,J,10,80.80099923445746,80.80099923445746
172,GM_PC,24.562,20.849,49,2,J,10,84.88315283771679,84.88315283771679
105,GM_PC,25.652,19.276,63,2,J,10,75.14423826602213,75.14423826602213
137,GM_PC,24.855,18.996,84,2,J,10,76.4272782136391,76.4272782136391
161,GM_PC,24.421,NA,NA,2,J,10,NA,NA
56,PC,24.762,23.931,0,2,F,6,96.6440513690332,98.70225606903321
94,PC,25.286,23.015,7,2,F,6,91.01874555089773,91.01874555089773
20,PC,25.37,22.009,14,2,F,6,86.75206937327552,86.75206937327552
53,PC,24.59,18.836,21,2,F,6,76.60024400162668,76.60024400162668
80,PC,24.857,18.47,35,2,F,6,74.30502474152149,74.30502474152149
87,PC,25.245,18.435,49,2,F,6,73.02436125965536,73.02436125965536
22,PC,24.076,16.434,63,2,F,6,68.25884698454892,68.25884698454892
15,PC,23.631,17.806,84,2,F,6,75.35017561677458,75.35017561677458
52,PC,25.357,NA,NA,2,F,6,NA,NA
58,PC,22.629,NA,NA,2,F,6,NA,NA
34,PC,24.263,23.752,0,2,G,7,97.8939125417302,99.9521172417302
65,PC,24.512,22.553,7,2,G,7,92.0079960835509,92.0079960835509
72,PC,24.899,21.052,14,2,G,7,84.5495803044299,84.5495803044299
63,PC,24.161,20.075,21,2,G,7,83.08844832581433,83.08844832581433
8,PC,24.077,17.735,28,2,G,7,73.65950907505086,73.65950907505086
93,PC,25.115,16.613,35,2,G,7,66.14772048576548,66.14772048576548
40,PC,24.79,16.901,49,2,G,7,68.1766841468334,68.1766841468334
70,PC,25.476,17.302,63,2,G,7,67.91490029831999,67.91490029831999
23,PC,25.046,16.958,84,2,G,7,67.70741835023556,67.70741835023556
51,PC,24.709,NA,NA,2,G,7,NA,NA
84,PC,24.494,24.808,0,2,H,8,101.28194659916714,103.34015129916715
39,PC,23.761,21.694,7,2,H,8,91.30087117545558,91.30087117545558
88,PC,24.411,20.91,14,2,H,8,85.65810495268526,85.65810495268526
13,PC,24.923,19.9,21,2,H,8,79.84592545038718,79.84592545038718
78,PC,25.068,17.01,28,2,H,8,67.85543322163716,67.85543322163716
19,PC,25.155,18.18,35,2,H,8,72.27191413237925,72.27191413237925
45,PC,24.484,18.26,49,2,H,8,74.57931710504819,74.57931710504819
43,PC,25.332,18.272,63,2,H,8,72.13011211116374,72.13011211116374
16,PC,24.933,16.492,84,2,H,8,66.14526932178238,66.14526932178238
66,PC,25.15,NA,NA,2,H,8,NA,NA
73,PC,24.455,23.853,0,2,I,9,97.53833571866696,99.59654041866696
50,PC,25.165,22.088,7,2,I,9,87.77270017881979,87.77270017881979
46,PC,24.49,20.09,14,2,I,9,82.0334830543079,82.0334830543079
14,PC,24.016,19.577,21,2,I,9,81.51648900732846,81.51648900732846
91,PC,24.905,18.631,28,2,I,9,74.808271431439465,74.808271431439465
82,PC,24.944,18.132,35,2,I,9,72.69082745349584,72.69082745349584
89,PC,23.782,17.088,49,2,I,9,71.85266167689849,71.85266167689849
92,PC,24.821,17.711,63,2,I,9,71.3549010918174,71.3549010918174
74,PC,25.178,16.429,84,2,I,9,65.25140996107712,65.25140996107712
41,PC,25.544,NA,NA,2,I,9,NA,NA
25,PC,24.96,24.028,0,2,J,10,96.26602564102564,98.32423034102564
71,PC,25.086,23.384,7,2,J,10,93.21533923303835,93.21533923303835
79,PC,24.552,20.451,14,2,J,10,83.29667644183773,83.29667644183773
47,PC,24.101,19.279,21,2,J,10,79.99253143023111,79.99253143023111
42,PC,25.549,18.29,28,2,J,10,71.587929077459,71.587929077459
64,PC,24.097,16.529,35,2,J,10,68.59360086317798,68.59360086317798
60,PC,24.231,17.604,49,2,J,10,72.65073665965085,72.65073665965085
68,PC,24.646,16.178,63,2,J,10,65.64148340501501,65.64148340501501
99,PC,24.553,17.7,84,2,J,10,72.08895043375554,72.08895043375554
17,PC,25.112,NA,NA,2,J,10,NA,NA
323,AR,23.875,22.134,0,1,A,1,92.70785340314136,99.88848450314136
300,AR,23.869,21.229,7,1,A,1,88.93962880723952,88.93962880723952
321,AR,22.812,16.257,14,1,A,1,71.26512361914781,71.26512361914781
307,AR,22.661,16.012,21,1,A,1,70.65884118088346,70.65884118088346
341,AR,23.358,15.982,28,1,A,1,68.42195393441219,68.42195393441219
318,AR,23.61,14.397,35,1,A,1,60.978398983481576,60.978398983481576
330,AR,22.488,13.847,49,1,A,1,61.57506225542512,61.57506225542512
311,AR,23.446,12.011,63,1,A,1,51.22835451676191,51.22835451676191
304,AR,22.977,12.47,84,1,A,1,54.27166296731515,54.27166296731515
298,AR,23.602,NA,NA,1,A,1,NA,NA
387,AR,23.035,21.388,0,1,B,2,92.85001085304971,100.03064195304971
308,AR,23.337,19.8716,7,1,B,2,85.15061918841326,85.15061918841326
362,AR,23.852,19.339,14,1,B,2,81.07915478785846,81.07915478785846
339,AR,23.248,18.023,21,1,B,2,77.52494838265656,77.52494838265656
375,AR,22.562,15.285,28,1,B,2,67.7466536654552,67.7466536654552
334,AR,22.405,18.087,35,1,B,2,80.72751617942423,80.72751617942423
391,AR,22.904,21.791,49,1,B,2,95.14058679706602,95.14058679706602
303,AR,23.976,12.633,63,1,B,2,52.69019019019019,52.69019019019019
355,AR,23.567,19.784,84,1,B,2,83.94789324054823,83.94789324054823
326,AR,22.797,NA,NA,1,B,2,NA,NA
396,AR,23.779,22.141,0,1,C,3,93.11156903149838,100.29220013149838
346,AR,22.555,19.085,7,1,C,3,84.61538461538463,84.61538461538463
329,AR,22.761,17.721,14,1,C,3,77.856860419138,77.856860419138
305,AR,23.056,16.364,21,1,C,3,70.97501734906315,70.97501734906315
378,AR,22.992,17.141,35,1,C,3,74.55201809324981,74.55201809324981
306,AR,23.012,13.922,49,1,C,3,60.4988701547019,60.4988701547019
328,AR,22.562,10,84,1,C,3,44.32231185178619,44.32231185178619
386,AR,22.69,21.196,0,1,D,4,93.41560158660202,100.59623268660202
338,AR,22.775,19.026,7,1,D,4,83.53896816684963,83.53896816684963
333,AR,23.878,20.119,14,1,D,4,84.25747550046067,84.25747550046067
331,AR,22.82,16.103,21,1,D,4,70.56529360210342,70.56529360210342
371,AR,22.879,17.263,28,1,D,4,75.45347261681017,75.45347261681017
350,AR,23.707,14.635,35,1,D,4,61.732821529506055,61.732821529506055
317,AR,22.923,13.311,49,1,D,4,58.06831566548881,58.06831566548881
343,AR,22.499,13.456,63,1,D,4,59.80710253789058,59.80710253789058
380,AR,22.423,11.608,84,1,D,4,51.768273647594,51.768273647594
352,AR,23.333,NA,NA,1,D,4,NA,NA
360,AR,22.735,NA,NA,1,D,4,NA,NA
392,AR,23.252,21.695,0,1,E,5,93.30380182349906,100.48443292349906
310,AR,23.518,19.635,7,1,E,5,83.48924228250702,83.48924228250702
299,AR,22.364,15.676,14,1,E,5,70.094795206582,70.094795206582
337,AR,22.601,17.45,21,1,E,5,77.20897305428963,77.20897305428963
383,AR,22.437,14.251,28,1,E,5,63.515621518028254,63.515621518028254
348,AR,23.156,14.896,35,1,E,5,64.32889963724305,64.32889963724305
370,AR,23.38,13.493,49,1,E,5,57.71171941830625,57.71171941830625
322,AR,22.908,10.747,84,1,E,5,46.91374192421861,46.91374192421861
236,CR,22.415,20.883,0,1,A,1,93.16529109971002,100.58661419971001
207,CR,22.766,19.1089,7,1,A,1,83.93613282965826,83.93613282965826
249,CR,22.318,16.682,14,1,A,1,74.74684111479523,74.74684111479523
203,CR,23.274,17.797,21,1,A,1,76.46730256939074,76.46730256939074
241,CR,22.444,16.42,28,1,A,1,73.15986455177331,73.15986455177331
289,CR,22.74,16.427,35,1,A,1,72.23834652594547,72.23834652594547
219,CR,22.911,15.7,49,1,A,1,68.52603552878529,68.52603552878529
221,CR,22.417,13.994,63,1,A,1,62.42583753401436,62.42583753401436
288,CR,22.687,13.452,84,1,A,1,59.29386873539912,59.29386873539912
223,CR,22.739,21.226,0,1,B,2,93.3462333435947,100.7675564435947
290,CR,22.532,20.236,7,1,B,2,89.81004793183028,89.81004793183028
212,CR,22.444,17.276,14,1,B,2,76.97380146141508,76.97380146141508
285,CR,22.368,19.954,21,1,B,2,89.20779685264665,89.20779685264665
245,CR,22.72,17.656,28,1,B,2,77.71126760563381,77.71126760563381
242,CR,22.848,18.481,35,1,B,2,80.88672969187675,80.88672969187675
208,CR,22.944,18.878,49,1,B,2,82.27859135285914,82.27859135285914
228,CR,22.776,14.61,63,1,B,2,64.14646996838778,64.14646996838778
204,CR,23.265,17.936,84,1,B,2,77.0943477326456,77.0943477326456
