sample,spp,initial_wt_g,coll_wt_g,days,soil_block,row,percent_n,percent_c,prop_c,initial_prop_c,collected_prop_c,prop_c_remain,pct_c_remaing,prop_n,initial_prop_n,collected_prop_n,prop_n_remain,pct_n_remain
86,PC,24.129,20.398,14,1,4,1.8,43.8,0.43799999999999994,10.9762821,8.934323999999998,0.8139663247175469,81.3966324717547,0.018000000000000002,0.45169488,0.36716400000000005,0.812858449934168,81.2858449934168
112,GM_PC,25.908,23.621,14,1,4,1.4,42.9,0.429,11.1757681488,10.133409,0.9067304247080388,90.67304247080388,0.013999999999999999,0.4133504814000001,0.33069399999999993,0.8000329378593046,80.00329378593047
201,CR,22.603,21.441,14,1,4,1.04,39,0.39,9.714769400000002,8.36199,0.8607502304686717,86.07502304686717,0.0104,0.32525717000000004,0.22298639999999997,0.6855695141170907,68.55695141170906
333,AR,23.878,20.119,14,1,4,1.42,37.9,0.379,9.8640018,7.625101,0.7730230746713772,77.30230746713772,0.014199999999999999,0.40855258,0.2856898,0.6992730287004919,69.92730287004919
12,PC,24.599,20.496,14,1,5,2.18,46,0.46,11.1900851,9.42816,0.8425458712552596,84.25458712552596,0.0218,0.46049328,0.44681279999999995,0.9702916837353196,97.02916837353196
174,GM_PC,24.784,22.073,14,1,5,1.2,44.6,0.446,10.6909154624,9.844558,0.920833958010739,92.08339580107388,0.012,0.39541756720000004,0.264876,0.6698640171088484,66.98640171088483
225,CR,22.993,18.401,14,1,5,1.26,42.4,0.424,9.8823914,7.802023999999999,0.7894874513875255,78.94874513875256,0.0126,0.33086927,0.2318526,0.7007377868606535,70.07377868606535
299,AR,22.364,15.676,14,1,5,1.6,40.5,0.405,9.2385684,6.3487800000000005,0.6872038745743334,68.72038745743335,0.016,0.38264804,0.250816,0.6554744145559976,65.54744145559977
20,PC,25.37,22.009,14,2,6,1.37,45,0.45,11.540813000000002,9.90405,0.858176109430072,85.81761094300721,0.0137,0.4749264,0.3015233,0.63488426838348,63.488426838348
178,GM_PC,24.712,22.816,14,2,6,1.33,37.6,0.376,10.6598572832,8.578816,0.8047777537810253,80.47777537810254,0.013300000000000001,0.39426883960000003,0.3034528,0.7696596066477479,76.9659606647748
260,CR,22.604,18.465,14,2,6,1.18,39.5,0.395,9.7151992,7.293675,0.7507488884015883,75.07488884015882,0.0118,0.32527156,0.217887,0.6698618225337623,66.98618225337623
314,AR,22.97,17.596,14,2,6,1.2,41,0.41,9.488907,7.214359999999999,0.760294099204471,76.0294099204471,0.012,0.3930167,0.211152,0.5372596126322368,53.725961263223674
72,PC,24.899,21.052,14,2,7,1.7,45.1,0.451,11.3265551,9.494452,0.8382471030401821,83.82471030401821,0.017,0.46610928,0.35788400000000004,0.7678113596021946,76.78113596021946
165,GM_PC,24.496,22.741,14,2,7,1.76,43.4,0.434,10.5666827456,9.869594,0.9340295566373212,93.402955663732115,0.0176,0.3908226568,0.40024160000000003,1.0241002998063649,102.41002998063648
286,CR,23.07,17.881,14,2,7,1.24,41.1,0.411,9.915486,7.349091,0.7411730499140435,74.11730499140435,0.0124,0.33197730000000003,0.2217244,0.6678902443028483,66.78902443028483
347,AR,23.934,18.063,14,2,7,1.49,39.1,0.391,9.887135400000002,7.062633,0.7143255062533076,71.43255062533076,0.0149,0.40951074000000004,0.2691387,0.6572201256553124,65.72201256553124
88,PC,24.411,20.91,14,2,8,2.2,43.9,0.439,11.1045639,9.17949,0.826641197498985,82.6641197498985,0.022000000000000002,0.45697392000000003,0.46002000000000004,1.0066657633328397,100.66657633328397
185,GM_PC,24.751,22.67,14,2,8,1.57,43.7,0.43700000000000006,10.6766804636,9.906790000000004,0.9278904649975444,92.78904649975443,0.015700000000000002,0.39489106705000004,0.3559190000000001,0.901309322236288,90.1309322236288
256,CR,23.209,17.046,14,2,8,1.24,41.8,0.418,9.9752282,7.125227999999999,0.71429223042737,71.429223042737,0.0124,0.33397751,0.21137039999999999,0.6328881247123497,63.28881247123497
344,AR,23.047,16.924,14,2,8,1.41,39.3,0.393,9.5207157,6.651131999999999,0.698595799893489,69.8595799893489,0.0141,0.39433417000000004,0.2386284,0.6051425875672909,60.51425875672909
46,PC,24.49,20.09,14,2,9,1.57,44.2,0.442,11.140501,8.87978,0.7970718731590258,79.70718731590259,0.015700000000000002,0.4584528,0.31541300000000005,0.687994489290937,68.7994489290937
167,GM_PC,24.704,22.329,14,2,9,1.45,44,0.44,10.6564063744,9.82476,0.921958083693404,92.1958083693404,0.014499999999999999,0.39414120320000007,0.32377049999999996,0.8214581408168795,82.14581408168794
275,CR,22.673,18.186,14,2,9,0.95,41.8,0.418,9.7448554,7.601748,0.7800780707325837,78.00780707325838,0.0095,0.32626447,0.172767,0.5295305369904361,52.95305369904361
377,AR,22.947,17.605,14,2,9,1.56,40,0.4,9.4794057,7.042000000000001,0.7428735748697832,74.28735748697832,0.015600000000000001,0.39262316999999997,0.27463800000000005,0.6994951418684742,69.94951418684742
79,PC,24.552,20.451,14,2,10,1.79,44.6,0.446,11.1687048,9.121146,0.8166699866577187,81.66699866577187,0.0179,0.45961344,0.3660729,0.7964799723872305,79.64799723872305
119,GM_PC,24.043,21.092,14,2,10,1.4,44.2,0.442,10.3712750348,9.322664,0.8988927560708333,89.88927560708333,0.013999999999999999,0.38359524565,0.29528799999999994,0.7697905627053225,76.97905627053225
287,CR,23.488,17.821,14,2,10,1.29,42.2,0.422,10.0951424,7.520462000000001,0.744958486172518,74.49584861725181,0.0129,0.33799232,0.2298909,0.6801660463764384,68.01660463764384
361,AR,22.545,14.164,14,2,10,1.41,40.8,0.408,9.3133395,5.778911999999999,0.6204983722541199,62.049837225411984,0.0141,0.38574495000000003,0.19971239999999998,0.5177317292164161,51.77317292164161
3,PC,24.081,18.301,35,1,1,1.49,42.4,0.424,10.9544469,7.759623999999999,0.7083537919198821,70.83537919198821,0.0149,0.45079632000000003,0.27268489999999995,0.6048960204466619,60.48960204466619
143,GM_PC,24.86,20.043,35,1,1,1.68,44.1,0.441,10.723699096,8.838963,0.8242457123118069,82.42457123118069,0.0168,0.396630113,0.3367224,0.8489582332847229,84.89582332847229
289,CR,22.74,16.427,35,1,1,1.47,34.1,0.341,9.773652,5.601607,0.5731334612691347,57.313346126913466,0.0147,0.3272286,0.2414769,0.7379455829961074,73.79455829961074
318,AR,23.61,14.397,35,1,1,1.67,28.1,0.281,9.753291,4.0455570000000005,0.41478891586439903,41.4788915864399,0.0167,0.40396709999999997,0.2404299,0.5951719830649576,59.51719830649576
1,PC,23.578,17.166,35,1,2,1.73,39.4,0.394,10.7256322,6.7634039999999995,0.6305832489762235,63.05832489762235,0.0173,0.44138016,0.2969718,0.6728254391860296,67.28254391860295
173,GM_PC,24.743,22.277,35,1,2,1.42,34.6,0.34600000000000003,10.6732295548,7.707842000000001,0.7221658599606907,72.21658599606907,0.014199999999999999,0.39476343065,0.3163334,0.8013239713697375,80.13239713697375
