sample,spp,initial_wt_g,coll_wt_g,days,soil_block,row,percent_n,percent_c,prop_n,initial_prop_n,collected_prop_n,prop_n_remain,pct_n_remain
200,GM_PC,22.932,25.034,0,2,10,1.76,44.1,0.0176,0.3658697406,0.4405984,1.2042493573736117,120.42493573736117
200,GM_PC,22.932,25.034,0,2,10,1.58,27.2,0.0158,0.3658697406,0.39553720000000003,1.0810874912785833,108.10874912785833
276,CR,23.275,21.481,0,2,10,1.44,43.3,0.0144,0.33492724999999995,0.3093264,0.9235629528502086,92.35629528502086
394,AR,23.677,22.167,0,2,10,1.77,41.5,0.0177,0.40511347,0.39235590000000004,0.9685086501813925,96.85086501813926
28,PC,24.473,20.668,14,1,1,1.45,43.7,0.014499999999999999,0.45813455999999997,0.29968599999999995,0.65414405758867,65.414405758867
140,GM_PC,24.657,21.806,14,1,1,1.2,44.8,0.012,0.39339133935000004,0.261672,0.6651697020894265,66.51697020894265
249,CR,22.318,16.682,14,1,1,1.14,40.9,0.011399999999999999,0.32115602000000004,0.19017479999999995,0.5921570456627278,59.21570456627278
321,AR,22.812,16.257,14,1,1,1.28,39.8,0.0128,0.39031332,0.20808960000000004,0.5331347646552262,53.313476465522626
57,PC,24.357,20.689,14,1,2,1.55,43,0.0155,0.45596304,0.3206795,0.7033015219830099,70.330152198301
156,GM_PC,24.764,22.841,14,1,2,1.24,42.6,0.0124,0.39509847620000005,0.2832284,0.716855207147468,71.6855207147468
212,CR,22.444,17.276,14,1,2,1.23,36.2,0.0123,0.32296916,0.2124948,0.6579414579398232,65.79414579398232
362,AR,23.852,19.339,14,1,2,1.31,33.9,0.0131,0.40810772,0.2533409,0.6207696830630892,62.07696830630892
67,PC,25.11,20.712,14,1,3,1.62,43.2,0.016200000000000003,0.4700592,0.33553440000000007,0.7138130686517784,71.38130686517783
154,GM_PC,24.979,21.34,14,1,3,1.42,41.2,0.014199999999999999,0.39852870445000005,0.30302799999999996,0.7603668107626066,76.03668107626066
