sample,spp,initial_wt_g,coll_wt_g,days,soil_block,row,percent_n,percent_c,prop_c,initial_prop_c,collected_prop_c,prop_c_remain,pct_c_remain
187,GM_PC,24.522,20.21,35,2,6,1.47,39.3,0.393,10.5778982,7.94253,0.750860885,75.08608847
359,CR,22.751,13.387,35,2,6,1.73,33.1,0.331,9.7783798,4.431097,0.453152474,45.31524742
93,PC,25.115,16.613,35,2,7,2.49,45,0.45,11.4248135,7.47585,0.654352038,65.43520382
129,GM_PC,24.729,19.818,35,2,7,1.46,41.7,0.417,10.66719046,8.264106,0.774721894,77.4721894
265,CR,22.356,13.579,35,2,7,1.68,38.9,0.389,9.6086088,5.282231,0.549739417,54.9739417
368,AR,22.724,12.361,35,2,7,1.93,37,0.37,9.3872844,4.57357,0.487209059,48.72090591
19,PC,25.155,18.18,35,2,8,1.64,45.3,0.453,11.4430095,8.23554,0.71970053,71.97005298
142,GM_PC,24.815,16.707,35,2,8,1.5,43.2,0.432,10.70428773,7.217424,0.674255418,67.4255418
270,CR,23.54,16.308,35,2,8,1.48,37.2,0.372,10.117492,6.066576,0.599612631,59.96126313
309,AR,23.406,12.381,35,2,8,2,34.4,0.344,9.6690186,4.259064,0.440485656,44.04856559
82,PC,24.944,18.132,35,2,9,1.92,43.8,0.438,11.3470256,7.941816,0.699902889,69.99028891
194,GM_PC,24.927,20.162,35,2,9,1.36,44.3,0.443,10.75260046,8.931766,0.830661014,83.06610141
280,CR,23.836,14.503,35,2,9,1.32,39.2,0.392,10.2447128,5.685176,0.554937567,55.49375674
324,AR,23.05,13.547,35,2,9,1.91,37.5,0.375,9.521955,5.080125,0.533517014,53.35170141
64,PC,24.097,16.529,35,2,10,2.33,45,0.45,10.9617253,7.43805,0.678547382,67.85473816
136,GM_PC,24.819,20.054,35,2,10,1.64,44.2,0.442,10.70601319,8.863868,0.827933596,82.79335962
227,CR,22.49,13.585,35,2,10,1.5,40.4,0.404,9.666202,5.48834,0.567786603,56.77866033
302,AR,23.855,10.467,35,2,10,2.08,36.2,0.362,9.8545005,3.789054,0.384499854,38.44998536
4,PC,23.471,17.322,63,1,1,1.72,38.7,0.387,10.6769579,6.703614,0.627858053,62.78580531
127,GM_PC,24.703,20.393,63,1,1,1.57,37.9,0.379,10.65597501,7.728947,0.725315796,72.53157963
221,CR,22.417,13.994,63,1,1,1.75,32,0.32,9.6348266,4.47808,0.464780549,46.47805493
311,AR,23.446,12.011,63,1,1,1.87,36,0.36,9.6855426,4.32396,0.446434462,44.6434462
90,PC,25.247,18.057,63,1,2,2.04,41.6,0.416,11.4848603,7.511712,0.654053406,65.40534063
146,GM_PC,24.473,18.848,63,1,2,1.69,40.9,0.409,10.55676138,7.708832,0.730226982,73.02269816
228,CR,22.776,14.61,63,1,2,1.63,36.1,0.361,9.7891248,5.27421,0.538782589,53.87825886
303,AR,23.976,12.633,63,1,2,1.49,25.1,0.251,9.9044856,3.170883,0.320146157,32.01461568
97,PC,23.902,13.725,63,1,4,1.97,32.9,0.329,10.8730198,4.515525,0.41529631,41.52963099
170,GM_PC,24.551,22.678,63,1,4,1.48,32.3,0.323,10.59040774,7.324994,0.691663076,69.16630764
218,CR,23.109,15.065,63,1,4,1.74,33.3,0.333,9.9322482,5.016645,0.505086552,50.50865523
343,AR,22.499,13.456,63,1,4,1.8,33.8,0.338,9.2943369,4.548128,0.489344,48.93440004
22,PC,24.076,16.434,63,2,6,2.03,39.5,0.395,10.9521724,6.49143,0.592707069,59.27070688
116,GM_PC,23.125,17.888,63,2,6,1.76,40.3,0.403,9.97528325,7.208864,0.722672612,72.26726118
389,AR,23.998,12.342,63,2,6,2.24,33.5,0.335,9.9135738,4.13457,0.417061504,41.70615041
70,PC,25.476,17.302,63,2,7,1.56,39.4,0.394,11.5890324,6.816988,0.588227538,58.82275383
157,GM_PC,24.978,19.517,63,2,7,1.65,41.5,0.415,10.7746,8.099555,0.751726746,75.17267462
273,CR,23.094,12.616,63,2,7,1.88,38.8,0.388,9.9258012,4.895008,0.493159988,49.31599879
366,AR,23.022,10.791,63,2,7,1.81,35,0.35,9.5103882,3.77685,0.3971289,39.71288995
43,PC,25.332,18.272,63,2,8,2.25,44,0.44,11.5235268,8.03968,0.697675299,69.76752985
189,GM_PC,24.415,19.866,63,2,8,1.69,41.6,0.416,10.53174229,8.264256,0.784699793,78.46997932
205,CR,22.536,12.977,63,2,8,1.78,38.7,0.387,9.6859728,5.022099,0.518491958,51.84919578
357,AR,23.357,12.036,63,2,8,1.76,36.6,0.366,9.6487767,4.405176,0.456552798,45.6552798
92,PC,24.821,17.711,63,2,9,2.07,38.5,0.385,11.2910729,6.818735,0.603904966,60.39049664
190,GM_PC,24.735,18.978,63,2,9,1.57,38.4,0.384,10.66977865,7.287552,0.683008734,68.30087335
233,CR,23.154,13.805,63,2,9,1.88,33.5,0.335,9.9515892,4.624675,0.464717233,46.47172333
382,AR,22.831,10.933,63,2,9,2.05,35.8,0.358,9.4314861,3.914014,0.414994409,41.4994409
68,PC,24.646,16.178,63,2,10,2.14,41.1,0.411,11.2114654,6.649158,0.5930677,59.30677001
222,CR,23.061,9.177,63,2,10,1.59,37.8,0.378,9.9116178,3.468906,0.349983834,34.99838341
316,AR,23.229,10.739,63,2,10,2.05,34.4,0.344,9.5958999,3.694216,0.384978589,38.49785886
105,GM_PC,25.652,19.276,63,2,10,1.47,42.4,0.424,11.06533907,8.173024,0.738614872,73.86148721
