bag_no,spp,initial_wt_g,coll_wt_g,days,soil_block,row
385,AR,22.648,13.556,84,2,F
23,PC,25.046,16.958,84,2,G
139,GM_PC,24.587,18.934,84,2,G
263,CR,23.028,13.819,84,2,G
363,AR,22.7,10.972,84,2,G
16,PC,24.933,16.492,84,2,H
138,GM_PC,24.933,18.495,84,2,H
247,CR,22.32,12.077,84,2,H
373,AR,23.162,9.931,84,2,H
74,PC,25.178,16.429,84,2,I
266,CR,22.661,12.194,84,2,I
336,AR,23.675,11.418,84,2,I
199*,GM_PC,,17.64,84,2,I
99,PC,24.553,17.7,84,2,J
137,GM_PC,24.855,18.996,84,2,J
295,CR,22.618,12.043,84,2,J
395,AR,23.486,13.519,84,2,J
9,PC,23.23,,,1,B
17,PC,25.112,,,2,J
26,PC,24.818,,,,
35,PC,24.462,,,,
37,PC,22.91,,,,
41,PC,25.544,,,2,I
51,PC,24.709,,,2,G
52,PC,25.357,,,2,F
58,PC,22.629,,,2,F
62,PC,24.332,,,,
66,PC,25.15,,,2,H
83,PC,23.618,,,1,D
85,PC,24.722,,,1,A
102,GM_PC,22.877,,,,
103,GM_PC,24.723,,,,
124,GM_PC,24.36,,,1,B
133,GM_PC,24.356,,,1,D
148,GM_PC,24.25,,,2,G
152,GM_PC,24.282,,,1,A
161,GM_PC,24.421,,,2,J
163,GM_PC,24.89,,,,
171,GM_PC,24.995,,,,
180,GM_PC,24.482,,,2,H
182,GM_PC,24.296,,,2,I
191,GM_PC,24.534,,,,
192,GM_PC,24.924,,,2,F
197,GM_PC,24.745,,,,
213,CR,22.839,,,2,G
214,CR,22.993,,,2,J
216,CR,22.674,,,,
217,CR,22.836,,,,
224,CR,22.435,,,1,B
248,CR,22.668,,,1,D
251,CR,23.315,,,2,I
252,CR,23.457,,,1,D
254,CR,23.325,,,2,F
279,CR,23.119,,,,
282,CR,23.044,,,2,H
298,AR,23.602,,,1,A
301,AR,23.783,,,,
313,AR,23.972,,,2,I
319,AR,22.425,,,2,J
326,AR,22.797,,,1,B
327,AR,22.464,,,,
349,AR,22.916,,,,
352,AR,23.333,,,1,D
358,AR,23.248,,,,
359,AR,23.033,,,,
360,AR,22.735,,,1,D
365,AR,22.722,,,2,H
367,AR,22.921,,,,
384,AR,23.447,,,2,G
