spp,data,fit,days,pct_c_remain,.fitted,.resid
CR,,,0,90.40591031810406,100,-9.594089681895937
CR,,,14,71.429223042737,81.77358095875917,-10.344357916022176
CR,,,35,59.96126312726514,60.46896581629449,-0.507702689029351
CR,,,63,51.849195777217126,40.435104878205216,11.41409089901191
CR,,,0,93.69837550460048,100,-6.301624495399523
CR,,,14,78.00780707325838,81.77358095875917,-3.765773885500792
CR,,,35,55.49375674055012,60.46896581629449,-4.975209075744374
CR,,,63,46.47172333038023,40.435104878205216,6.036618452175013
CR,,,0,92.97930394023348,100,-7.020696059766522
CR,,,14,74.49584861725181,81.77358095875917,-7.27773234150736
CR,,,35,56.77866032594808,60.46896581629449,-3.690305490346411
CR,,,63,34.998383412241736,40.435104878205216,-5.43672146596348
CR,,,0,93.2086439573646,100,-6.7913560426354
CR,,,14,71.12949747778326,81.77358095875917,-10.644083480975908
CR,,,35,57.313346126913466,60.46896581629449,-3.1556196893810267
CR,,,63,46.47805493458492,40.435104878205216,6.042950056379702
CR,,,0,94.04122623959168,100,-5.95877376040832
CR,,,14,64.83135441840918,81.77358095875917,-16.942226540349992
CR,,,35,70.00898893759458,60.46896581629449,9.540023121300088
CR,,,63,53.878258861302896,40.435104878205216,13.44315398309768
CR,,,0,90.59976380579272,100,-9.400236194207281
CR,,,14,73.12509093519267,81.77358095875917,-8.648490023566495
CR,,,35,59.271426489806345,60.46896581629449,-1.1975393264881475
CR,,,0,92.65255097929482,100,-7.347449020705184
CR,,,14,86.07502304686717,81.77358095875917,4.301442088108004
CR,,,35,62.789995906727945,60.46896581629449,2.321030090433453
CR,,,63,50.50865523074624,40.435104878205216,10.073550352541027
CR,,,0,93.91822186982075,100,-6.081778130179245
CR,,,14,78.94874513875256,81.77358095875917,-2.824835820006612
CR,,,35,60.18952924872999,60.46896581629449,-0.2794365675645025
GM_PC,,,0,104.35880381129424,100,4.358803811294237
GM_PC,,,14,80.47777537810254,92.3634208143269,-11.885645436224365
GM_PC,,,35,75.08608846888589,81.98794916839296,-6.901860699507068
GM_PC,,,63,72.26726118278395,69.94393177084332,2.323329411940634
GM_PC,,,0,102.6907323943942,100,2.690732394394203
GM_PC,,,14,93.402955663732115,92.3634208143269,1.0395348494052143
GM_PC,,,35,77.47218939776224,81.98794916839296,-4.515759770630723
GM_PC,,,63,75.17267461807042,69.94393177084332,5.228742847227096
GM_PC,,,0,102.25293774350229,100,2.2529377435022866
GM_PC,,,14,92.78904649975443,92.3634208143269,0.42562568542753354
GM_PC,,,35,67.42554179551168,81.98794916839296,-14.562407372881282
GM_PC,,,63,78.4699793186945,69.94393177084332,8.526047547851178
GM_PC,,,0,104.7016760992311,100,4.7016760992310935
GM_PC,,,14,92.1958083693404,92.3634208143269,-0.16761244498650285
GM_PC,,,35,83.06610141009413,81.98794916839296,1.0781522417011757
GM_PC,,,63,68.30087335253235,69.94393177084332,-1.6430584183109715
GM_PC,,,0,111.60493767278392,100,11.604937672783919
GM_PC,,,0,68.83569851926809,100,-31.164301480731908
GM_PC,,,14,89.88927560708333,92.3634208143269,-2.4741452072435663
GM_PC,,,35,82.79335961965776,81.98794916839296,0.8054104512648053
GM_PC,,,63,73.86148721123755,69.94393177084332,3.9175554403942243
GM_PC,,,0,100.48092210534948,100,0.4809221053494781
GM_PC,,,14,91.8481242809806,92.3634208143269,-0.5152965333463015
GM_PC,,,35,82.42457123118069,81.98794916839296,0.43662206278773397
GM_PC,,,63,72.5315796270786,69.94393177084332,2.5876478562352787
GM_PC,,,0,102.72520245218408,100,2.725202452184078
GM_PC,,,14,91.0878439765783,92.3634208143269,-1.275576837748602
GM_PC,,,35,72.21658599606907,81.98794916839296,-9.771363172323888
