spp,data,fit,pct_n_remain,days,.fitted,.resid
PC,,,79.64799723872305,14,90.00975685565474,-10.361759616931693
PC,,,85.37558227094269,35,76.86417520895745,8.511407061985238
PC,,,75.03887526000649,63,62.273481798899155,12.765393461107337
PC,,,96.01683207576237,0,100,-3.983167924237634
PC,,,65.414405758867,14,90.00975685565474,-24.595351096787738
PC,,,60.48960204466619,35,76.86417520895745,-16.374573164291256
PC,,,67.80926598999966,63,62.273481798899155,5.535784191100504
PC,,,75.31139926663481,0,100,-24.688600733365192
PC,,,70.330152198301,14,90.00975685565474,-19.67960465735375
PC,,,67.28254391860295,35,76.86417520895745,-9.581631290354494
PC,,,77.93995326177368,63,62.273481798899155,15.666471462874526
PC,,,114.4528725966369,0,100,14.452872596636894
PC,,,71.38130686517783,14,90.00975685565474,-18.62844999047691
PC,,,70.46918442469581,35,76.86417520895745,-6.394990784261637
PC,,,135.5719997048575,0,100,35.57199970485749
PC,,,81.2858449934168,14,90.00975685565474,-8.72391186223794
PC,,,68.71884243728161,35,76.86417520895745,-8.14533277167584
PC,,,60.428037885468214,63,62.273481798899155,-1.845443913430941
PC,,,82.82769661425601,0,100,-17.172303385743987
PC,,,97.02916837353196,14,90.00975685565474,7.0194115178772165
PC,,,62.12335464998581,35,76.86417520895745,-14.740820558971642
