spp,soil_block,days,pct_c_remain,.fitted,.resid
PC,1,63,65.40534062917595,53.424481669510456,11.980858959665497
PC,1,0,97.85519499283946,100,-2.1448050071605422
PC,1,14,78.33270694019954,86.99571228455206,-8.663005344352513
PC,1,35,77.93591269304122,70.59023386482227,7.345678828218951
PC,1,0,103.2670397607031,100,3.267039760703099
PC,1,14,81.3966324717547,86.99571228455206,-5.599079812797356
PC,1,35,77.81769376563996,70.59023386482227,7.227459900817692
PC,1,63,41.52963098623253,53.424481669510456,-11.894850683277923
PC,1,0,96.2530961670854,100,-3.7469038329145974
PC,1,14,84.25458712552596,86.99571228455206,-2.7411251590260974
PC,1,35,65.01283193516514,70.59023386482227,-5.577401929657128
