spp,soil_block,days,pct_mass_remain,.fitted,.resid
PC,2,14,86.75206937327552,91.18031731021526,-4.428247936939741
PC,2,21,76.60024400162668,87.06661272918049,-10.466368727553814
PC,2,35,74.30502474152149,79.38761375772305,-5.082589016201553
PC,2,49,73.02436125965536,72.38587812929997,0.6384831303553966
PC,2,63,68.25884698454892,66.0016733660814,2.257173618467519
PC,2,84,75.35017561677458,57.46542134442477,17.88475427234981
PC,2,0,97.8939125417302,100,-2.1060874582697977
PC,2,7,92.0079960835509,95.48838532000384,-3.480389236452936
PC,2,14,84.5495803044299,91.18031731021526,-6.630737005785363
PC,2,21,83.08844832581433,87.06661272918049,-3.978164403366165
PC,2,28,73.65950907505086,83.13850264791537,-9.47899357286451
PC,2,35,66.14772048576548,79.38761375772305,-13.23989327195757
PC,2,49,68.1766841468334,72.38587812929997,-4.209193982466573
PC,2,63,67.91490029831999,66.0016733660814,1.9132269322385866
PC,2,84,67.70741835023556,57.46542134442477,10.241997005810788
PC,2,0,101.28194659916714,100,1.2819465991671422
PC,2,7,91.30087117545558,95.48838532000384,-4.18751414454826
PC,2,14,85.65810495268526,91.18031731021526,-5.522212357529995
PC,2,21,79.84592545038718,87.06661272918049,-7.2206872787933065
PC,2,28,67.85543322163716,83.13850264791537,-15.283069426278217
PC,2,35,72.27191413237925,79.38761375772305,-7.115699625343794
PC,2,49,74.57931710504819,72.38587812929997,2.193438975748222
PC,2,63,72.13011211116374,66.0016733660814,6.1284387450823345
PC,2,84,66.14526932178238,57.46542134442477,8.67984797735761
PC,2,0,97.53833571866696,100,-2.461664281333043
PC,2,7,87.77270017881979,95.48838532000384,-7.7156851411840535
PC,2,14,82.0334830543079,91.18031731021526,-9.146834255907365
PC,2,21,81.51648900732846,87.06661272918049,-5.550123721852032
PC,2,28,74.808271431439465,83.13850264791537,-8.330231216475909
PC,2,35,72.69082745349584,79.38761375772305,-6.696786304227203
PC,2,49,71.85266167689849,72.38587812929997,-0.5332164524014757
PC,2,63,71.3549010918174,66.0016733660814,5.353227725735991
PC,2,84,65.25140996107712,57.46542134442477,7.785988616652347
PC,2,0,96.26602564102564,100,-3.733974358974365
PC,2,7,93.21533923303836,95.48838532000384,-2.273046086965479
PC,2,14,83.29667644183773,91.18031731021526,-7.883640868377526
PC,2,21,79.99253143023111,87.06661272918049,-7.07408129894938
PC,2,28,71.587929077459,83.13850264791537,-11.550573570456379
PC,2,35,68.59360086317798,79.38761375772305,-10.794012894545062
PC,2,49,72.65073665965085,72.38587812929997,0.26485853035087814
PC,2,63,65.64148340501501,66.0016733660814,-0.36018996106639634
PC,2,84,72.08895043375554,57.46542134442477,14.623529089330773
AR,1,0,92.70785340314136,100,-7.292146596858643
AR,1,7,88.93962880723952,93.54347501811455,-4.603846210875034
AR,1,14,71.26512361914781,87.50381718464621,-16.238693565498394
AR,1,21,70.65884118088346,81.85411136801616,-11.195270187132706
AR,1,28,68.42195393441219,76.56918021883986,-8.147226284427674
AR,1,35,60.978398983481576,71.62547196958559,-10.647072986104014
AR,1,49,61.57506225542512,62.67502204990619,-1.099959794481073
AR,1,63,51.22835451676191,54.84303671498662,-3.614682198224706
AR,1,84,54.27166296731515,44.89128035028715,9.380382617028005
AR,1,0,92.85001085304972,100,-7.149989146950276
AR,1,7,85.15061918841326,93.54347501811455,-8.39285582970129
AR,1,14,81.07915478785846,87.50381718464621,-6.4246623967877525
AR,1,21,77.52494838265656,81.85411136801616,-4.329162985359602
AR,1,28,67.7466536654552,76.56918021883986,-8.822526553384662
AR,1,35,80.72751617942423,71.62547196958559,9.102044209838638
AR,1,49,95.14058679706602,62.67502204990619,32.46556474715983
AR,1,63,52.69019019019019,54.84303671498662,-2.1528465247964306
AR,1,84,83.94789324054823,44.89128035028715,39.05661289026108
AR,1,0,93.11156903149838,100,-6.888430968501623
AR,1,7,84.61538461538463,93.54347501811455,-8.928090402729921
AR,1,14,77.856860419138,87.50381718464621,-9.646956765508207
AR,1,21,70.97501734906315,81.85411136801616,-10.879094018953012
AR,1,35,74.55201809324981,71.62547196958559,2.926546123664224
AR,1,49,60.4988701547019,62.67502204990619,-2.176151895204292
AR,1,84,44.32231185178619,44.89128035028715,-0.5689684985009578
AR,1,0,93.41560158660202,100,-6.584398413397977
AR,1,7,83.53896816684963,93.54347501811455,-10.004506851264921
AR,1,14,84.25747550046067,87.50381718464621,-3.2463416841855377
AR,1,21,70.56529360210342,81.85411136801616,-11.28881776591274
AR,1,28,75.45347261681017,76.56918021883986,-1.115707602029687
AR,1,35,61.732821529506055,71.62547196958559,-9.892650440079535
AR,1,49,58.06831566548881,62.67502204990619,-4.606706384417379
AR,1,63,59.80710253789058,54.84303671498662,4.964065822903962
AR,1,84,51.768273647594,44.89128035028715,6.8769932973068535
AR,1,0,93.30380182349906,100,-6.696198176500943
AR,1,7,83.48924228250702,93.54347501811455,-10.054232735607528
AR,1,14,70.094795206582,87.50381718464621,-17.409021978064203
AR,1,21,77.20897305428963,81.85411136801616,-4.645138313726534
AR,1,28,63.515621518028254,76.56918021883986,-13.053558700811607
AR,1,35,64.32889963724305,71.62547196958559,-7.296572332342535
AR,1,49,57.71171941830625,62.67502204990619,-4.963302631599937
AR,1,84,46.91374192421861,44.89128035028715,2.0224615739314658
GM_PC,1,0,99.18492515030464,100,-0.8150748496953639
GM_PC,1,7,97.00200959685029,97.67658831477077,-0.6745787179204825
GM_PC,1,14,88.43736058725717,95.40715904813212,-6.969798460874941
GM_PC,1,21,87.52566115203477,93.19045796626257,-5.664796814227799
GM_PC,1,28,83.19509703779366,91.02525997635578,-7.830162938562125
GM_PC,1,35,80.62349155269509,88.91036844955484,-8.286876896859752
GM_PC,1,49,85.18047057857348,84.82685663694707,0.35361394162640636
GM_PC,1,63,82.55272638950734,80.93089402714311,1.6218323623642306
GM_PC,1,84,83.46771067524615,75.41987078008529,8.047839895160863
GM_PC,1,0,100.2531971504592,100,0.25319715045920077
GM_PC,1,7,90.0972301658632,97.67658831477077,-7.579358148907573
GM_PC,1,14,92.2346955257632,95.40715904813212,-3.172463522368915
GM_PC,1,21,87.27301436917733,93.19045796626257,-5.917443597085239
GM_PC,1,28,86.84005302971224,91.02525997635578,-4.185206946643547
GM_PC,1,35,90.03354484096513,88.91036844955484,1.123176391410297
GM_PC,1,49,86.45322115759134,84.82685663694707,1.6263645206442732
GM_PC,1,63,77.01548645446002,80.93089402714311,-3.915407572683094
GM_PC,1,84,73.88599772320703,75.41987078008529,-1.5338730568782637
GM_PC,1,0,97.50827172092642,100,-2.491728279073584
GM_PC,1,7,94.21378456458936,97.67658831477077,-3.4628037501814077
GM_PC,1,14,85.43176268065174,95.40715904813212,-9.975396367480371
GM_PC,1,21,86.74781346983193,93.19045796626257,-6.4426444964306455
GM_PC,1,35,88.35038519545103,88.91036844955484,-0.5599832541038126
GM_PC,1,49,83.73908120349401,84.82685663694707,-1.0877754334530607
GM_PC,1,84,78.54467845205976,75.41987078008529,3.124807671974466
GM_PC,1,0,98.53658536585364,100,-1.4634146341463605
GM_PC,1,7,92.92538396420366,97.67658831477077,-4.751204350567107
GM_PC,1,14,91.17261077659408,95.40715904813212,-4.234548271538031
GM_PC,1,21,89.38752239778465,93.19045796626257,-3.8029355684779205
GM_PC,1,28,91.25086625086624,91.02525997635578,0.22560627451045434
GM_PC,1,35,84.93420243512483,88.91036844955484,-3.9761660144300066
GM_PC,1,49,84.71651926721415,84.82685663694707,-0.11033736973291752
GM_PC,1,63,92.37098285202234,80.93089402714311,11.440088824879226
GM_PC,1,84,83.12083807048887,75.41987078008529,7.700967290403582
GM_PC,1,0,99.42147354092224,100,-0.5785264590777643
GM_PC,1,7,88.51524879614766,97.67658831477077,-9.161339518623109
GM_PC,1,14,89.06149128469981,95.40715904813212,-6.345667763432303
GM_PC,1,21,94.16102759431097,93.19045796626257,0.9705696280483949
GM_PC,1,28,86.47077948467853,91.02525997635578,-4.554480491677253
GM_PC,1,35,85.2964007027005,88.91036844955484,-3.6139677468543425
GM_PC,1,49,77.6505178163946,84.82685663694707,-7.176338820552473
GM_PC,1,84,84.69269102990033,75.41987078008529,9.272820249815041
PC,1,0,97.68669002490608,100,-2.3133099750939152
PC,1,7,90.75385583884167,95.89729419187401,-5.143438353032337
PC,1,14,84.4522535038614,91.96291033322831,-7.5106568293669085
PC,1,21,78.9497233973316,88.18994266966526,-9.240219272333661
PC,1,28,82.64049737900767,84.57176876957391,-1.9312713905662378
PC,1,35,75.99767451517793,81.10203790022972,-5.1043633850517836
PC,1,49,70.19985872771845,74.5837943926091,-4.383935664890643
PC,1,63,73.8017127519066,68.58942796039447,5.212284791512133
PC,1,84,76.99328328723824,60.48897719572324,16.504306091515005
PC,1,0,97.22961339802784,100,-2.770386601972163
PC,1,7,91.371158392435,95.89729419187401,-4.526135799439004
PC,1,14,84.94067413885126,91.96291033322831,-7.022236194377044
PC,1,21,78.2720026432082,88.18994266966526,-9.91794002645706
PC,1,28,79.13821333013857,84.57176876957391,-5.433555439435338
PC,1,35,72.80515735007211,81.10203790022972,-8.29688055015761
PC,1,49,73.69081343585593,74.5837943926091,-0.8929809567531635
PC,1,63,71.52136887550996,68.58942796039447,2.93194091511549
PC,1,84,70.00670522169139,60.48897719572324,9.517728025968154
PC,1,0,97.8336883565773,100,-2.166311643422702
PC,1,7,91.56771568546044,95.89729419187401,-4.329578506413569
PC,1,14,82.48506571087216,91.96291033322831,-9.477844622356145
PC,1,21,74.96794871794872,88.18994266966526,-13.221993951716541
PC,1,35,82.44894577689409,81.10203790022972,1.3469078766643747
PC,1,49,71.90746753246754,74.5837943926091,-2.6763268601415575
PC,1,84,70.3287197231834,60.48897719572324,9.83974252746016
PC,1,0,99.5257974303895,100,-0.47420256961049745
PC,1,7,86.1582482215952,95.89729419187401,-9.73904597027881
PC,1,14,84.53727879315346,91.96291033322831,-7.425631540074846
PC,1,21,80.56025114706593,88.18994266966526,-7.62969152259933
PC,1,28,79.69312213077464,84.57176876957391,-4.8786466387992675
PC,1,35,91.23522910822068,81.10203790022972,10.133191207990961
PC,1,49,82.64429637954564,74.5837943926091,8.060501986936544
PC,1,63,57.42197305664798,68.58942796039447,-11.167454903746496
PC,1,84,53.413484005267854,60.48897719572324,-7.075493190455383
PC,1,0,97.51789186282215,100,-2.482108137177846
PC,1,7,90.40266798418972,95.89729419187401,-5.494626207684291
PC,1,14,83.32046018130818,91.96291033322831,-8.64245015192013
PC,1,21,89.10402132162734,88.18994266966526,0.914078651962086
PC,1,28,77.64500264195424,84.57176876957391,-6.926766127619672
PC,1,35,77.01650324819433,81.10203790022972,-4.085534652035392
PC,1,49,82.37245620423191,74.5837943926091,7.788661811622816
PC,1,84,69.15172274833769,60.48897719572324,8.662745552614453
