Bag #,species,Initial weight,Collection Weight,T ,Soil Type ,Row
314,AR,22.97,,,,
316,AR,23.229,,,,
317,AR,22.923,,,,
318,AR,23.61,,,,
319,AR,22.425,,,,
320,AR,22.818,,,,
321,AR,22.812,,,,
322,AR,22.908,,,,
324,AR,23.05,,,,
326,AR,22.797,,,,
327,AR,22.464,,,,
328,AR,22.562,,,,
329,AR,22.761,,,,
330,AR,22.488,,,,
331,AR,22.82,,,,
333,AR,23.878,,,,
334,AR,22.405,,,,
336,AR,23.675,,,,
337,AR,22.601,,,,
339,AR,23.248,,,,
340,AR,22.854,,,,
341,AR,23.358,,,,
342,AR,23.091,,,,
343,AR,22.499,,,,
344,AR,23.047,,,,
347,AR,23.934,,,,
348,AR,23.156,,,,
349,AR,22.916,,,,
350,AR,23.707,,,,
351,AR,22.624,,,,
352,AR,23.333,,,,
353,AR,23.101,,,,
354,AR,22.574,,,,
355,AR,23.567,,,,
356,AR,23.124,,,,
357,AR,23.357,,,,
358,AR,23.248,,,,
359,AR,23.033,,,,
360,AR,22.735,,,,
361,AR,22.545,,,,
362,AR,23.852,,,,
363,AR,22.7,,,,
364,AR,23,,,,
365,AR,22.722,,,,
366,AR,23.022,,,,
367,AR,22.921,,,,
368,AR,22.724,,,,
370,AR,23.38,,,,
371,AR,22.879,,,,
372,AR,23.092,,,,
373,AR,23.162,,,,
374,AR,22.659,,,,
375,AR,22.562,,,,
376,AR,22.661,,,,
377,AR,22.947,,,,
378,AR,22.992,,,,
380,AR,22.423,,,,
381,AR,23.069,,,,
382,AR,22.831,,,,
383,AR,22.437,,,,
384,AR,23.447,,,,
385,AR,22.648,,,,
389,AR,23.998,,,,
390,AR,23.324,,,,
391,AR,22.904,,,,
395,AR,23.486,,,,
